?јдр,«нчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,јдр,«нчн
454,0200,454,0000,000,0000,000,0000,0000,004,0100
454,0200,455,0200,454,0200,000,0454,0000,004,0100
455,EEFD,456,EEFD,453,0000,000,FFFD,0000,004,0100,453,0000
456,AF04,457,AF04,456,0004,000,0004,0004,000,0000
457,EEFA,458,EEFA,452,0004,000,FFFA,0004,000,0000,452,0004
458,AEF7,459,AEF7,450,0466,000,FFF7,0466,000,0000
459,EEF7,45A,EEF7,451,0466,000,FFF7,0466,000,0000,451,0466
45A,AAF6,45B,AAF6,466,0280,000,FFF6,0280,000,0000,451,0467
45B,0480,45C,0480,45B,0480,000,045B,0140,000,0000
45C,F406,45D,F406,45C,F406,000,045C,0140,000,0000
45D,0480,45E,0480,45D,0480,000,045D,00A0,000,0000
45E,F404,45F,F404,45E,F404,000,045E,00A0,000,0000
45F,0400,460,0400,45F,0400,000,045F,0140,000,0000
460,0400,461,0400,460,0400,000,0460,0280,000,0000
461,4EF1,462,4EF1,453,0000,000,FFF1,0280,000,0000
462,EEF0,463,EEF0,453,0280,000,FFF0,0280,000,0000,453,0280
463,8452,464,8452,452,0003,000,0002,0280,000,0000,452,0003
464,CEF5,45A,CEF5,464,045A,000,FFF5,0280,000,0000
45A,AAF6,45B,AAF6,467,1002,000,FFF6,1002,000,0000,451,0468
45B,0480,45C,0480,45B,0480,000,045B,0801,000,0000
45C,F406,45D,F406,45C,F406,000,045C,0801,000,0000
45D,0480,45E,0480,45D,0480,000,045D,0400,003,0011
45E,F404,463,F404,45E,F404,000,0004,0400,003,0011
463,8452,464,8452,452,0002,000,0001,0400,003,0011,452,0002
464,CEF5,45A,CEF5,464,045A,000,FFF5,0400,003,0011
45A,AAF6,45B,AAF6,468,1001,000,FFF6,1001,001,0001,451,0469
45B,0480,45C,0480,45B,0480,000,045B,8800,009,1001
45C,F406,463,F406,45C,F406,000,0006,8800,009,1001
463,8452,464,8452,452,0001,000,0000,8800,009,1001,452,0001
464,CEF5,45A,CEF5,464,045A,000,FFF5,8800,009,1001
45A,AAF6,45B,AAF6,469,1800,000,FFF6,1800,001,0001,451,046A
45B,0480,45C,0480,45B,0480,000,045B,8C00,00A,1010
45C,F406,45D,F406,45C,F406,000,045C,8C00,00A,1010
45D,0480,45E,0480,45D,0480,000,045D,4600,000,0000
45E,F404,45F,F404,45E,F404,000,045E,4600,000,0000
45F,0400,460,0400,45F,0400,000,045F,8C00,00A,1010
460,0400,461,0400,460,0400,000,0460,1800,003,0011
461,4EF1,462,4EF1,453,0280,000,FFF1,1A80,000,0000
462,EEF0,463,EEF0,453,1A80,000,FFF0,1A80,000,0000,453,1A80
463,8452,465,8452,452,0000,000,FFFF,1A80,000,0000,452,0000
465,0100,466,0100,465,0100,000,0465,1A80,000,0000
