?Àäð,ÌÊ,IP,CR,AR,DR,SP,BR,AC,PS,NZVCÑ÷ÌÊ
D4,00BBE00000,0CE,0000,000,0000,000,0000,0000,084,0100D5
D5,80C3101040,0CE,0000,000,0000,000,0000,0000,084,0100C3
C3,0400000000,0CE,0000,000,0000,000,0000,0000,084,0100C4
C4,80DE801040,0CE,0000,000,0000,000,0000,0000,084,0100C5
C5,8001401040,0CE,0000,000,0000,000,0000,0000,084,010001
01,00A0009004,0CE,0000,0CE,0000,000,00CE,0000,084,010002
02,0104009420,0CF,0000,0CE,0200,000,00CE,0000,084,010003
03,0002009001,0CF,0200,0CE,0200,000,00CE,0000,084,010004
04,8109804002,0CF,0200,0CE,0200,000,00CE,0000,084,010005
05,810C404002,0CF,0200,0CE,0200,000,00CE,0000,084,010006
06,810C204002,0CF,0200,0CE,0200,000,00CE,0000,084,010007
07,8078104002,0CF,0200,0CE,0200,000,00CE,0000,084,010078
78,81A4084002,0CF,0200,0CE,0200,000,00CE,0000,084,010079
79,8189044002,0CF,0200,0CE,0200,000,00CE,0000,084,01007A
7A,817D024002,0CF,0200,0CE,0200,000,00CE,0000,084,01007D
7D,8183014002,0CF,0200,0CE,0200,000,00CE,0000,084,01007E
7E,8181801002,0CF,0200,0CE,0200,000,00CE,0000,084,01007F
7F,0010C00000,0CF,0200,0CE,0200,000,00CE,0000,084,010080
80,80C4101040,0CF,0200,0CE,0200,000,00CE,0000,084,0100C4
C4,80DE801040,0CF,0200,0CE,0200,000,00CE,0000,084,0100C5
C5,8001401040,0CF,0200,0CE,0200,000,00CE,0000,084,010001
01,00A0009004,0CF,0200,0CF,0200,000,00CF,0000,084,010002
02,0104009420,0D0,0200,0CF,E8FD,000,00CF,0000,084,010003
03,0002009001,0D0,E8FD,0CF,E8FD,000,00CF,0000,084,010004
04,8109804002,0D0,E8FD,0CF,E8FD,000,00CF,0000,084,010009
09,800C404002,0D0,E8FD,0CF,E8FD,000,00CF,0000,084,01000A
0A,800C204002,0D0,E8FD,0CF,E8FD,000,00CF,0000,084,01000B
0B,8157104002,0D0,E8FD,0CF,E8FD,000,00CF,0000,084,01000C
0C,8024084002,0D0,E8FD,0CF,E8FD,000,00CF,0000,084,01000D
0D,0020011002,0D0,E8FD,0CF,E8FD,000,FFFD,0000,084,01000E
0E,811C044002,0D0,E8FD,0CF,E8FD,000,FFFD,0000,084,01000F
0F,0080009024,0D0,E8FD,0CD,E8FD,000,FFFD,0000,084,010010
10,0100000000,0D0,E8FD,0CD,0554,000,FFFD,0000,084,010011
11,8114024002,0D0,E8FD,0CD,0554,000,FFFD,0000,084,010012
12,81E0014002,0D0,E8FD,0CD,0554,000,FFFD,0000,084,010013
13,8024101040,0D0,E8FD,0CD,0554,000,FFFD,0000,084,010024
24,8026804002,0D0,E8FD,0CD,0554,000,FFFD,0000,084,010025
25,814A404002,0D0,E8FD,0CD,0554,000,FFFD,0000,084,01004A
4A,8153204002,0D0,E8FD,0CD,0554,000,FFFD,0000,084,010053
53,0080009001,0D0,E8FD,554,0554,000,FFFD,0000,084,010054
54,0001009010,0D0,E8FD,554,0000,000,FFFD,0000,084,010055
55,0200000000,0D0,E8FD,554,0000,000,FFFD,0000,084,010056
56,80C4101040,0D0,E8FD,554,0000,000,FFFD,0000,084,0100C4
C4,80DE801040,0D0,E8FD,554,0000,000,FFFD,0000,084,0100C5
C5,8001401040,0D0,E8FD,554,0000,000,FFFD,0000,084,010001
01,00A0009004,0D0,E8FD,0D0,0000,000,00D0,0000,084,010002
02,0104009420,0D1,E8FD,0D0,1205,000,00D0,0000,084,010003
03,0002009001,0D1,1205,0D0,1205,000,00D0,0000,084,010004
