?Àäð,ÌÊ,IP,CR,AR,DR,SP,BR,AC,PS,NZVCÑ÷ÌÊ
04,8109804002,0D1,1205,0D0,1205,000,00D0,0000,084,010005
05,810C404002,0D1,1205,0D0,1205,000,00D0,0000,084,010006
06,810C204002,0D1,1205,0D0,1205,000,00D0,0000,084,010007
07,8078104002,0D1,1205,0D0,1205,000,00D0,0000,084,010008
08,80C2101040,0D1,1205,0D0,1205,000,00D0,0000,084,0100C2
C2,81C7084002,0D1,1205,0D0,1205,000,00D0,0000,084,0100C3
C3,0400000000,0D1,1205,0D0,1205,000,00D0,0000,084,0100C4
C4,80DE801040,0D1,1205,0D0,1205,000,00D0,0000,084,0100C5
C5,8001401040,0D1,1205,0D0,1205,000,00D0,0000,084,010001
01,00A0009004,0D1,1205,0D1,1205,000,00D1,0000,084,010002
02,0104009420,0D2,1205,0D1,2F40,000,00D1,0000,084,010003
03,0002009001,0D2,2F40,0D1,2F40,000,00D1,0000,084,010004
04,8109804002,0D2,2F40,0D1,2F40,000,00D1,0000,084,010005
05,810C404002,0D2,2F40,0D1,2F40,000,00D1,0000,084,010006
06,810C204002,0D2,2F40,0D1,2F40,000,00D1,0000,084,01000C
0C,8024084002,0D2,2F40,0D1,2F40,000,00D1,0000,084,01000D
0D,0020011002,0D2,2F40,0D1,2F40,000,0040,0000,084,01000E
0E,811C044002,0D2,2F40,0D1,2F40,000,0040,0000,084,01001C
1C,8120024002,0D2,2F40,0D1,2F40,000,0040,0000,084,010020
20,8023014002,0D2,2F40,0D1,2F40,000,0040,0000,084,010021
21,0001009020,0D2,2F40,0D1,0040,000,0040,0000,084,010022
22,8028101040,0D2,2F40,0D1,0040,000,0040,0000,084,010028
28,813C804002,0D2,2F40,0D1,0040,000,0040,0000,084,010029
29,8130404002,0D2,2F40,0D1,0040,000,0040,0000,084,01002A
2A,812D104002,0D2,2F40,0D1,0040,000,0040,0000,084,01002B
2B,0010C09811,0D2,2F40,0D1,0040,000,0040,0000,084,01002C
2C,80C4101040,0D2,2F40,0D1,0040,000,0040,0000,084,0100C4
C4,80DE801040,0D2,2F40,0D1,0040,000,0040,0000,084,0100C5
C5,8001401040,0D2,2F40,0D1,0040,000,0040,0000,084,010001
01,00A0009004,0D2,2F40,0D2,0040,000,00D2,0000,084,010002
02,0104009420,0D3,2F40,0D2,F0FD,000,00D2,0000,084,010003
03,0002009001,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,010004
04,8109804002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,010009
09,800C404002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,01000A
0A,800C204002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,01000B
0B,8157104002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,010057
57,8171084002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,010058
58,8166044002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,010059
59,8161024002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,01005A
5A,815F014002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,01005B
5B,80C4041040,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,01005C
5C,0020011002,0D3,F0FD,0D2,F0FD,000,FFFD,0000,084,01005D
5D,0004009024,0D0,F0FD,0D2,F0FD,000,FFFD,0000,084,01005E
5E,80C4101040,0D0,F0FD,0D2,F0FD,000,FFFD,0000,084,0100C4
C4,80DE801040,0D0,F0FD,0D2,F0FD,000,FFFD,0000,084,0100C5
C5,8001401040,0D0,F0FD,0D2,F0FD,000,FFFD,0000,084,010001
01,00A0009004,0D0,F0FD,0D0,F0FD,000,00D0,0000,084,010002
02,0104009420,0D1,F0FD,0D0,1205,000,00D0,0000,084,010003
03,0002009001,0D1,1205,0D0,1205,000,00D0,0000,084,010004
04,8109804002,0D1,1205,0D0,1205,000,00D0,0000,084,010005
05,810C404002,0D1,1205,0D0,1205,000,00D0,0000,084,010006
06,810C204002,0D1,1205,0D0,1205,000,00D0,0000,084,010007
07,8078104002,0D1,1205,0D0,1205,000,00D0,0000,084,010008
08,80C2101040,0D1,1205,0D0,1205,000,00D0,0000,084,0100C2
C2,81C7084002,0D1,1205,0D0,1205,000,00D0,0000,084,0100C3
C3,0400000000,0D1,1205,0D0,1205,000,00D0,0000,084,0100C4
C4,80DE801040,0D1,1205,0D0,1205,000,00D0,0000,084,0100C5
C5,8001401040,0D1,1205,0D0,1205,000,00D0,0000,084,010001
01,00A0009004,0D1,1205,0D1,1205,000,00D1,0000,084,010002
02,0104009420,0D2,1205,0D1,2F40,000,00D1,0000,084,010003
03,0002009001,0D2,2F40,0D1,2F40,000,00D1,0000,084,010004
04,8109804002,0D2,2F40,0D1,2F40,000,00D1,0000,084,010005
05,810C404002,0D2,2F40,0D1,2F40,000,00D1,0000,084,010006
06,810C204002,0D2,2F40,0D1,2F40,000,00D1,0000,084,01000C
0C,8024084002,0D2,2F40,0D1,2F40,000,00D1,0000,084,01000D
0D,0020011002,0D2,2F40,0D1,2F40,000,0040,0000,084,01000E
0E,811C044002,0D2,2F40,0D1,2F40,000,0040,0000,084,01001C
1C,8120024002,0D2,2F40,0D1,2F40,000,0040,0000,084,010020
20,8023014002,0D2,2F40,0D1,2F40,000,0040,0000,084,010021
21,0001009020,0D2,2F40,0D1,0040,000,0040,0000,084,010022
22,8028101040,0D2,2F40,0D1,0040,000,0040,0000,084,010028
28,813C804002,0D2,2F40,0D1,0040,000,0040,0000,084,010029
29,8130404002,0D2,2F40,0D1,0040,000,0040,0000,084,01002A
2A,812D104002,0D2,2F40,0D1,0040,000,0040,0000,084,01002B
2B,0010C09811,0D2,2F40,0D1,0040,000,0040,0000,084,01002C
2C,80C4101040,0D2,2F40,0D1,0040,000,0040,0000,084,0100C4
C4,80DE801040,0D2,2F40,0D1,0040,000,0040,0000,084,0100C5
C5,8001401040,0D2,2F40,0D1,0040,000,0040,0000,084,010001
01,00A0009004,0D2,2F40,0D2,0040,000,00D2,0000,084,010002
02,0104009420,0D3,2F40,0D2,F0FD,000,00D2,0000,084,010003
03,0002009001,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,010004
04,8109804002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,010009
09,800C404002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,01000A
0A,800C204002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,01000B
0B,8157104002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,010057
57,8171084002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,010058
58,8166044002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,010059
59,8161024002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,01005A
5A,815F014002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,01005B
5B,80C4041040,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,01005C
5C,0020011002,0D3,F0FD,0D2,F0FD,000,FFFD,0000,084,01005D
5D,0004009024,0D0,F0FD,0D2,F0FD,000,FFFD,0000,084,01005E
5E,80C4101040,0D0,F0FD,0D2,F0FD,000,FFFD,0000,084,0100C4
C4,80DE801040,0D0,F0FD,0D2,F0FD,000,FFFD,0000,084,0100C5
C5,8001401040,0D0,F0FD,0D2,F0FD,000,FFFD,0000,084,010001
01,00A0009004,0D0,F0FD,0D0,F0FD,000,00D0,0000,084,010002
02,0104009420,0D1,F0FD,0D0,1205,000,00D0,0000,084,010003
03,0002009001,0D1,1205,0D0,1205,000,00D0,0000,084,010004
04,8109804002,0D1,1205,0D0,1205,000,00D0,0000,084,010005
05,810C404002,0D1,1205,0D0,1205,000,00D0,0000,084,010006
06,810C204002,0D1,1205,0D0,1205,000,00D0,0000,084,010007
07,8078104002,0D1,1205,0D0,1205,000,00D0,0000,084,010008
08,80C2101040,0D1,1205,0D0,1205,000,00D0,0000,084,0100C2
C2,81C7084002,0D1,1205,0D0,1205,000,00D0,0000,084,0100C3
C3,0400000000,0D1,1205,0D0,1205,000,00D0,0000,084,0100C4
C4,80DE801040,0D1,1205,0D0,1205,000,00D0,0000,084,0100C5
C5,8001401040,0D1,1205,0D0,1205,000,00D0,0000,084,010001
01,00A0009004,0D1,1205,0D1,1205,000,00D1,0000,084,010002
02,0104009420,0D2,1205,0D1,2F40,000,00D1,0000,084,010003
03,0002009001,0D2,2F40,0D1,2F40,000,00D1,0000,084,010004
04,8109804002,0D2,2F40,0D1,2F40,000,00D1,0000,084,010005
05,810C404002,0D2,2F40,0D1,2F40,000,00D1,0000,084,010006
06,810C204002,0D2,2F40,0D1,2F40,000,00D1,0000,084,01000C
0C,8024084002,0D2,2F40,0D1,2F40,000,00D1,0000,084,01000D
0D,0020011002,0D2,2F40,0D1,2F40,000,0040,0000,084,01000E
0E,811C044002,0D2,2F40,0D1,2F40,000,0040,0000,084,01001C
1C,8120024002,0D2,2F40,0D1,2F40,000,0040,0000,084,010020
20,8023014002,0D2,2F40,0D1,2F40,000,0040,0000,084,010021
21,0001009020,0D2,2F40,0D1,0040,000,0040,0000,084,010022
22,8028101040,0D2,2F40,0D1,0040,000,0040,0000,084,010028
28,813C804002,0D2,2F40,0D1,0040,000,0040,0000,084,010029
29,8130404002,0D2,2F40,0D1,0040,000,0040,0000,084,01002A
2A,812D104002,0D2,2F40,0D1,0040,000,0040,0000,084,01002B
2B,0010C09811,0D2,2F40,0D1,0040,000,0040,0000,084,01002C
2C,80C4101040,0D2,2F40,0D1,0040,000,0040,0000,084,0100C4
C4,80DE801040,0D2,2F40,0D1,0040,000,0040,0000,084,0100C5
C5,8001401040,0D2,2F40,0D1,0040,000,0040,0000,084,010001
01,00A0009004,0D2,2F40,0D2,0040,000,00D2,0000,084,010002
02,0104009420,0D3,2F40,0D2,F0FD,000,00D2,0000,084,010003
03,0002009001,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,010004
04,8109804002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,010009
09,800C404002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,01000A
0A,800C204002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,01000B
0B,8157104002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,010057
57,8171084002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,010058
58,8166044002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,010059
59,8161024002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,01005A
5A,815F014002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,01005B
5B,80C4041040,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,01005C
5C,0020011002,0D3,F0FD,0D2,F0FD,000,FFFD,0000,084,01005D
5D,0004009024,0D0,F0FD,0D2,F0FD,000,FFFD,0000,084,01005E
5E,80C4101040,0D0,F0FD,0D2,F0FD,000,FFFD,0000,084,0100C4
C4,80DE801040,0D0,F0FD,0D2,F0FD,000,FFFD,0000,084,0100C5
C5,8001401040,0D0,F0FD,0D2,F0FD,000,FFFD,0000,084,010001
01,00A0009004,0D0,F0FD,0D0,F0FD,000,00D0,0000,084,010002
02,0104009420,0D1,F0FD,0D0,1205,000,00D0,0000,084,010003
03,0002009001,0D1,1205,0D0,1205,000,00D0,0000,084,010004
04,8109804002,0D1,1205,0D0,1205,000,00D0,0000,084,010005
05,810C404002,0D1,1205,0D0,1205,000,00D0,0000,084,010006
06,810C204002,0D1,1205,0D0,1205,000,00D0,0000,084,010007
07,8078104002,0D1,1205,0D0,1205,000,00D0,0000,084,010008
08,80C2101040,0D1,1205,0D0,1205,000,00D0,0000,084,0100C2
C2,81C7084002,0D1,1205,0D0,1205,000,00D0,0000,084,0100C3
C3,0400000000,0D1,1205,0D0,1205,000,00D0,0000,084,0100C4
C4,80DE801040,0D1,1205,0D0,1205,000,00D0,0000,084,0100C5
C5,8001401040,0D1,1205,0D0,1205,000,00D0,0000,084,010001
01,00A0009004,0D1,1205,0D1,1205,000,00D1,0000,084,010002
02,0104009420,0D2,1205,0D1,2F40,000,00D1,0000,084,010003
03,0002009001,0D2,2F40,0D1,2F40,000,00D1,0000,084,010004
04,8109804002,0D2,2F40,0D1,2F40,000,00D1,0000,084,010005
05,810C404002,0D2,2F40,0D1,2F40,000,00D1,0000,084,010006
06,810C204002,0D2,2F40,0D1,2F40,000,00D1,0000,084,01000C
0C,8024084002,0D2,2F40,0D1,2F40,000,00D1,0000,084,01000D
0D,0020011002,0D2,2F40,0D1,2F40,000,0040,0000,084,01000E
0E,811C044002,0D2,2F40,0D1,2F40,000,0040,0000,084,01001C
1C,8120024002,0D2,2F40,0D1,2F40,000,0040,0000,084,010020
20,8023014002,0D2,2F40,0D1,2F40,000,0040,0000,084,010021
21,0001009020,0D2,2F40,0D1,0040,000,0040,0000,084,010022
22,8028101040,0D2,2F40,0D1,0040,000,0040,0000,084,010028
28,813C804002,0D2,2F40,0D1,0040,000,0040,0000,084,010029
29,8130404002,0D2,2F40,0D1,0040,000,0040,0000,084,01002A
2A,812D104002,0D2,2F40,0D1,0040,000,0040,0000,084,01002B
2B,0010C09811,0D2,2F40,0D1,0040,000,0040,0000,084,01002C
2C,80C4101040,0D2,2F40,0D1,0040,000,0040,0000,084,0100C4
C4,80DE801040,0D2,2F40,0D1,0040,000,0040,0000,084,0100C5
C5,8001401040,0D2,2F40,0D1,0040,000,0040,0000,084,010001
01,00A0009004,0D2,2F40,0D2,0040,000,00D2,0000,084,010002
02,0104009420,0D3,2F40,0D2,F0FD,000,00D2,0000,084,010003
03,0002009001,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,010004
04,8109804002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,010009
09,800C404002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,01000A
0A,800C204002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,01000B
0B,8157104002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,010057
57,8171084002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,010058
58,8166044002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,010059
59,8161024002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,01005A
5A,815F014002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,01005B
5B,80C4041040,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,01005C
5C,0020011002,0D3,F0FD,0D2,F0FD,000,FFFD,0000,084,01005D
5D,0004009024,0D0,F0FD,0D2,F0FD,000,FFFD,0000,084,01005E
5E,80C4101040,0D0,F0FD,0D2,F0FD,000,FFFD,0000,084,0100C4
C4,80DE801040,0D0,F0FD,0D2,F0FD,000,FFFD,0000,084,0100C5
C5,8001401040,0D0,F0FD,0D2,F0FD,000,FFFD,0000,084,010001
01,00A0009004,0D0,F0FD,0D0,F0FD,000,00D0,0000,084,010002
02,0104009420,0D1,F0FD,0D0,1205,000,00D0,0000,084,010003
03,0002009001,0D1,1205,0D0,1205,000,00D0,0000,084,010004
04,8109804002,0D1,1205,0D0,1205,000,00D0,0000,084,010005
05,810C404002,0D1,1205,0D0,1205,000,00D0,0000,084,010006
06,810C204002,0D1,1205,0D0,1205,000,00D0,0000,084,010007
07,8078104002,0D1,1205,0D0,1205,000,00D0,0000,084,010008
08,80C2101040,0D1,1205,0D0,1205,000,00D0,0000,084,0100C2
C2,81C7084002,0D1,1205,0D0,1205,000,00D0,0000,084,0100C3
C3,0400000000,0D1,1205,0D0,1205,000,00D0,0000,084,0100C4
C4,80DE801040,0D1,1205,0D0,1205,000,00D0,0000,084,0100C5
C5,8001401040,0D1,1205,0D0,1205,000,00D0,0000,084,010001
01,00A0009004,0D1,1205,0D1,1205,000,00D1,0000,084,010002
02,0104009420,0D2,1205,0D1,2F40,000,00D1,0000,084,010003
03,0002009001,0D2,2F40,0D1,2F40,000,00D1,0000,084,010004
04,8109804002,0D2,2F40,0D1,2F40,000,00D1,0000,084,010005
05,810C404002,0D2,2F40,0D1,2F40,000,00D1,0000,084,010006
06,810C204002,0D2,2F40,0D1,2F40,000,00D1,0000,084,01000C
0C,8024084002,0D2,2F40,0D1,2F40,000,00D1,0000,084,01000D
0D,0020011002,0D2,2F40,0D1,2F40,000,0040,0000,084,01000E
0E,811C044002,0D2,2F40,0D1,2F40,000,0040,0000,084,01001C
1C,8120024002,0D2,2F40,0D1,2F40,000,0040,0000,084,010020
20,8023014002,0D2,2F40,0D1,2F40,000,0040,0000,084,010021
21,0001009020,0D2,2F40,0D1,0040,000,0040,0000,084,010022
22,8028101040,0D2,2F40,0D1,0040,000,0040,0000,084,010028
28,813C804002,0D2,2F40,0D1,0040,000,0040,0000,084,010029
29,8130404002,0D2,2F40,0D1,0040,000,0040,0000,084,01002A
2A,812D104002,0D2,2F40,0D1,0040,000,0040,0000,084,01002B
2B,0010C09811,0D2,2F40,0D1,0040,000,0040,0000,084,01002C
2C,80C4101040,0D2,2F40,0D1,0040,000,0040,0000,084,0100C4
C4,80DE801040,0D2,2F40,0D1,0040,000,0040,0000,084,0100C5
C5,8001401040,0D2,2F40,0D1,0040,000,0040,0000,084,010001
01,00A0009004,0D2,2F40,0D2,0040,000,00D2,0000,084,010002
02,0104009420,0D3,2F40,0D2,F0FD,000,00D2,0000,084,010003
03,0002009001,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,010004
04,8109804002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,010009
09,800C404002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,01000A
0A,800C204002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,01000B
0B,8157104002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,010057
57,8171084002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,010058
58,8166044002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,010059
59,8161024002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,01005A
5A,815F014002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,01005B
5B,80C4041040,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,01005C
5C,0020011002,0D3,F0FD,0D2,F0FD,000,FFFD,0000,084,01005D
5D,0004009024,0D0,F0FD,0D2,F0FD,000,FFFD,0000,084,01005E
5E,80C4101040,0D0,F0FD,0D2,F0FD,000,FFFD,0000,084,0100C4
C4,80DE801040,0D0,F0FD,0D2,F0FD,000,FFFD,0000,084,0100C5
C5,8001401040,0D0,F0FD,0D2,F0FD,000,FFFD,0000,084,010001
01,00A0009004,0D0,F0FD,0D0,F0FD,000,00D0,0000,084,010002
02,0104009420,0D1,F0FD,0D0,1205,000,00D0,0000,084,010003
03,0002009001,0D1,1205,0D0,1205,000,00D0,0000,084,010004
04,8109804002,0D1,1205,0D0,1205,000,00D0,0000,084,010005
05,810C404002,0D1,1205,0D0,1205,000,00D0,0000,084,010006
06,810C204002,0D1,1205,0D0,1205,000,00D0,0000,084,010007
07,8078104002,0D1,1205,0D0,1205,000,00D0,0000,084,010008
08,80C2101040,0D1,1205,0D0,1205,000,00D0,0000,084,0100C2
C2,81C7084002,0D1,1205,0D0,1205,000,00D0,0000,084,0100C3
C3,0400000000,0D1,1205,0D0,1205,000,00D0,0000,084,0100C4
C4,80DE801040,0D1,1205,0D0,1205,000,00D0,0000,084,0100C5
C5,8001401040,0D1,1205,0D0,1205,000,00D0,0000,084,010001
01,00A0009004,0D1,1205,0D1,1205,000,00D1,0000,084,010002
02,0104009420,0D2,1205,0D1,2F40,000,00D1,0000,084,010003
03,0002009001,0D2,2F40,0D1,2F40,000,00D1,0000,084,010004
04,8109804002,0D2,2F40,0D1,2F40,000,00D1,0000,084,010005
05,810C404002,0D2,2F40,0D1,2F40,000,00D1,0000,084,010006
06,810C204002,0D2,2F40,0D1,2F40,000,00D1,0000,084,01000C
0C,8024084002,0D2,2F40,0D1,2F40,000,00D1,0000,084,01000D
0D,0020011002,0D2,2F40,0D1,2F40,000,0040,0000,084,01000E
0E,811C044002,0D2,2F40,0D1,2F40,000,0040,0000,084,01001C
1C,8120024002,0D2,2F40,0D1,2F40,000,0040,0000,084,010020
20,8023014002,0D2,2F40,0D1,2F40,000,0040,0000,084,010021
21,0001009020,0D2,2F40,0D1,0040,000,0040,0000,084,010022
22,8028101040,0D2,2F40,0D1,0040,000,0040,0000,084,010028
28,813C804002,0D2,2F40,0D1,0040,000,0040,0000,084,010029
29,8130404002,0D2,2F40,0D1,0040,000,0040,0000,084,01002A
2A,812D104002,0D2,2F40,0D1,0040,000,0040,0000,084,01002B
2B,0010C09811,0D2,2F40,0D1,0040,000,0040,0000,084,01002C
2C,80C4101040,0D2,2F40,0D1,0040,000,0040,0000,084,0100C4
C4,80DE801040,0D2,2F40,0D1,0040,000,0040,0000,084,0100C5
C5,8001401040,0D2,2F40,0D1,0040,000,0040,0000,084,010001
01,00A0009004,0D2,2F40,0D2,0040,000,00D2,0000,084,010002
02,0104009420,0D3,2F40,0D2,F0FD,000,00D2,0000,084,010003
03,0002009001,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,010004
04,8109804002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,010009
09,800C404002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,01000A
0A,800C204002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,01000B
0B,8157104002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,010057
57,8171084002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,010058
58,8166044002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,010059
59,8161024002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,01005A
5A,815F014002,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,01005B
5B,80C4041040,0D3,F0FD,0D2,F0FD,000,00D2,0000,084,01005C
5C,0020011002,0D3,F0FD,0D2,F0FD,000,FFFD,0000,084,01005D
5D,0004009024,0D0,F0FD,0D2,F0FD,000,FFFD,0000,084,01005E
5E,80C4101040,0D0,F0FD,0D2,F0FD,000,FFFD,0000,084,0100C4
C4,80DE801040,0D0,F0FD,0D2,F0FD,000,FFFD,0000,084,0100C5
C5,8001401040,0D0,F0FD,0D2,F0FD,000,FFFD,0000,084,010001
01,00A0009004,0D0,F0FD,0D0,F0FD,000,00D0,0000,084,010002
02,0104009420,0D1,F0FD,0D0,1205,000,00D0,0000,084,010003
03,0002009001,0D1,1205,0D0,1205,000,00D0,0000,084,010004
04,8109804002,0D1,1205,0D0,1205,000,00D0,0000,084,010005
05,810C404002,0D1,1205,0D0,1205,000,00D0,0000,084,010006
06,810C204002,0D1,1205,0D0,1205,000,00D0,0000,084,010007
07,8078104002,0D1,1205,0D0,1205,000,00D0,0000,084,010008
08,80C2101040,0D1,1205,0D0,1205,000,00D0,0000,084,0100C2
C2,81C7084002,0D1,1205,0D0,1205,000,00D0,0000,084,0100C3
C3,0400000000,0D1,1205,0D0,1205,000,00D0,0000,084,0100C4
C4,80DE801040,0D1,1205,0D0,1205,000,00D0,0000,084,0100C5
C5,8001401040,0D1,1205,0D0,1205,000,00D0,0000,084,010001
01,00A0009004,0D1,1205,0D1,1205,000,00D1,0000,084,010002
02,0104009420,0D2,1205,0D1,2F40,000,00D1,0000,084,010003
03,0002009001,0D2,2F40,0D1,2F40,000,00D1,0000,084,010004
04,8109804002,0D2,2F40,0D1,2F40,000,00D1,0000,084,010005
05,810C404002,0D2,2F40,0D1,2F40,000,00D1,0000,084,010006
06,810C204002,0D2,2F40,0D1,2F40,000,00D1,0000,084,01000C
0C,8024084002,0D2,2F40,0D1,2F40,000,00D1,0000,084,01000D
0D,0020011002,0D2,2F40,0D1,2F40,000,0040,0000,084,01000E
0E,811C044002,0D2,2F40,0D1,2F40,000,0040,0000,084,01001C
1C,8120024002,0D2,2F40,0D1,2F40,000,0040,0000,084,010020
20,8023014002,0D2,2F40,0D1,2F40,000,0040,0000,084,010021
21,0001009020,0D2,2F40,0D1,0040,000,0040,0000,084,010022
22,8028101040,0D2,2F40,0D1,0040,000,0040,0000,084,010028
28,813C804002,0D2,2F40,0D1,0040,000,0040,0000,084,010029
29,8130404002,0D2,2F40,0D1,0040,000,0040,0000,084,01002A
