????,??/?,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,???,??/?
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0CD,2F40,0D8,40,0,40,0,5,101,,
0CD,554,0CE,2F40,0CD,554,0,40,0,5,101,0CD,554
0CE,200,0CF,2F40,0CE,200,0,40,0,5,101,0CE,200
0CF,E8FD,0D0,2F40,0CF,E8FD,0,40,0,5,101,0CF,E8FD
0D0,1205,0D1,2F40,0D0,1205,0,40,0,5,101,0D0,1205
0D1,2F40,0D2,2F40,0D1,2F40,0,40,0,5,101,0D1,2F40
0D2,F0FD,0D3,2F40,0D2,F0FD,0,40,0,5,101,0D2,F0FD
0D3,1204,0D4,2F40,0D3,1204,0,40,0,5,101,0D3,1204
0D4,7F0A,0D5,2F40,0D4,7F0A,0,40,0,5,101,0D4,7F0A
0D5,F00B,0D6,2F40,0D5,F00B,0,40,0,5,101,0D5,F00B
0D6,E8F6,0D7,2F40,0D6,E8F6,0,40,0,5,101,0D6,E8F6
0D7,1205,0D8,2F40,0D7,1205,0,40,0,5,101,0D7,1205
0D8,2F40,0D9,2F40,0D8,2F40,0,40,0,5,101,0D8,2F40
0D9,F0FD,0DA,2F40,0D9,F0FD,0,40,0,5,101,0D9,F0FD
0DA,1204,0DB,2F40,0DA,1204,0,40,0,5,101,0DA,1204
0DB,7F0A,0DC,2F40,0DB,7F0A,0,40,0,5,101,0DB,7F0A
0DC,F004,0DD,2F40,0DC,F004,0,40,0,5,101,0DC,F004
0DD,680,0DE,2F40,0DD,680,0,40,0,5,101,0DD,680
0DE,48EE,0DF,2F40,0DE,48EE,0,40,0,5,101,0DE,48EE
0DF,EAED,0E0,2F40,0DF,EAED,0,40,0,5,101,0DF,EAED
0E0,CEED,0E1,2F40,0E0,CEED,0,40,0,5,101,0E0,CEED
0E1,100,0E2,2F40,0E1,100,0,40,0,5,101,0E1,100
0E2,0,0CE,2F40,0E1,100,0,40,0,5,101,,
0CE,200,0CE,0,0,0,0,0,0,4,100,,
0CE,200,0CF,200,0CE,200,0,00CE,0,4,100,,
0CF,E8FD,0D0,E8FD,554,0,0,FFFD,0,4,100,554,0
0D0,1205,0D1,1205,0D0,1205,0,00D0,40,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,40,0,0,,
0D2,F0FD,0D3,F0FD,0D2,F0FD,0,00D2,40,0,0,,
0D3,1204,0D4,1204,0D3,1204,0,00D3,00F1,0,0,,
0D4,7F0A,0D5,7F0A,0D4,000A,0,000A,00F1,1,1,,
0D5,F00B,0D6,F00B,0D5,F00B,0,00D5,00F1,1,1,,
0D6,E8F6,0D7,E8F6,554,00F1,0,FFF6,00F1,1,1,554,00F1
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,1,1,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0CD,1205,0D7,1205,0,00D7,0,5,101,,
0CD,554,0CE,1205,0CD,554,0,00D7,0,5,101,0CD,554
0CE,200,0CF,1205,0CE,200,0,00D7,0,5,101,0CE,200
0CF,E8FD,0D0,1205,0CF,E8FD,0,00D7,0,5,101,0CF,E8FD
0D0,1205,0D1,1205,0D0,1205,0,00D7,0,5,101,0D0,1205
0D1,2F40,0D2,1205,0D1,2F40,0,00D7,0,5,101,0D1,2F40
0D2,F0FD,0D3,1205,0D2,F0FD,0,00D7,0,5,101,0D2,F0FD
0D3,1204,0D4,1205,0D3,1204,0,00D7,0,5,101,0D3,1204
0D4,7F0A,0D5,1205,0D4,7F0A,0,00D7,0,5,101,0D4,7F0A
0D5,F00B,0D6,1205,0D5,F00B,0,00D7,0,5,101,0D5,F00B
0D6,E8F6,0D7,1205,0D6,E8F6,0,00D7,0,5,101,0D6,E8F6
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,0D7,1205
0D8,2F40,0D9,1205,0D8,2F40,0,00D7,0,5,101,0D8,2F40
0D9,F0FD,0DA,1205,0D9,F0FD,0,00D7,0,5,101,0D9,F0FD
0DA,1204,0DB,1205,0DA,1204,0,00D7,0,5,101,0DA,1204
0DB,7F0A,0DC,1205,0DB,7F0A,0,00D7,0,5,101,0DB,7F0A
0DC,F004,0DD,1205,0DC,F004,0,00D7,0,5,101,0DC,F004
0DD,680,0DE,1205,0DD,680,0,00D7,0,5,101,0DD,680
0DE,48EE,0DF,1205,0DE,48EE,0,00D7,0,5,101,0DE,48EE
0DF,EAED,0E0,1205,0DF,EAED,0,00D7,0,5,101,0DF,EAED
0E0,CEED,0E1,1205,0E0,CEED,0,00D7,0,5,101,0E0,CEED
0E1,100,0E2,1205,0E1,100,0,00D7,0,5,101,0E1,100
0E2,0,0CE,1205,0E1,100,0,00D7,0,5,101,,
0CE,200,0CE,0,0,0,0,0,0,4,100,,
0CE,200,0CF,200,0CE,200,0,00CE,0,4,100,,
0CF,E8FD,0D0,E8FD,554,0,0,FFFD,0,4,100,554,0
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0D0,F0FD,0D2,F0FD,0,FFFD,0,4,100,,
0D0,1205,0D1,1205,0D0,1205,0,00D0,0,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,0,4,100,,
0D2,F0FD,0CD,2F40,0D1,40,0,40,0,4,100,,
0CD,554,0CE,2F40,0CD,554,0,40,0,4,100,0CD,554
0CE,200,0CF,2F40,0CE,200,0,40,0,4,100,0CE,200
0CF,E8FD,0D0,2F40,0CF,E8FD,0,40,0,4,100,0CF,E8FD
0D0,1205,0D1,2F40,0D0,1205,0,40,0,4,100,0D0,1205
0D1,2F40,0D2,2F40,0D1,2F40,0,40,0,4,100,0D1,2F40
0D2,F0FD,0D3,2F40,0D2,F0FD,0,40,0,4,100,0D2,F0FD
0D3,1204,0D4,2F40,0D3,1204,0,40,0,4,100,0D3,1204
0D4,7F0A,0D5,2F40,0D4,7F0A,0,40,0,4,100,0D4,7F0A
0D5,F00B,0D6,2F40,0D5,F00B,0,40,0,4,100,0D5,F00B
0D6,E8F6,0D7,2F40,0D6,E8F6,0,40,0,4,100,0D6,E8F6
0D7,1205,0D8,2F40,0D7,1205,0,40,0,4,100,0D7,1205
0D8,2F40,0D9,2F40,0D8,2F40,0,40,0,4,100,0D8,2F40
0D9,F0FD,0DA,2F40,0D9,F0FD,0,40,0,4,100,0D9,F0FD
0DA,1204,0DB,2F40,0DA,1204,0,40,0,4,100,0DA,1204
0DB,7F0A,0DC,2F40,0DB,7F0A,0,40,0,4,100,0DB,7F0A
0DC,F004,0DD,2F40,0DC,F004,0,40,0,4,100,0DC,F004
0DD,680,0DE,2F40,0DD,680,0,40,0,4,100,0DD,680
0DE,48EE,0DF,2F40,0DE,48EE,0,40,0,4,100,0DE,48EE
0DF,EAED,0E0,2F40,0DF,EAED,0,40,0,4,100,0DF,EAED
0E0,CEED,0E1,2F40,0E0,CEED,0,40,0,4,100,0E0,CEED
0E1,100,0E2,2F40,0E1,100,0,40,0,4,100,0E1,100
0E2,0,0CE,2F40,0E1,100,0,40,0,4,100,,
0CE,200,0CE,0,0,0,0,0,0,4,100,,
0CE,200,0CF,200,0CE,200,0,00CE,0,4,100,,
0CF,E8FD,0D0,E8FD,554,0,0,FFFD,0,4,100,554,0
0D0,1205,0D1,1205,0D0,1205,0,00D0,40,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,40,0,0,,
0D2,F0FD,0D3,F0FD,0D2,F0FD,0,00D2,40,0,0,,
0D3,1204,0D4,1204,0D3,1204,0,00D3,00F1,0,0,,
0D4,7F0A,0D5,7F0A,0D4,000A,0,000A,00F1,1,1,,
0D5,F00B,0D6,F00B,0D5,F00B,0,00D5,00F1,1,1,,
0D6,E8F6,0D7,E8F6,554,00F1,0,FFF6,00F1,1,1,554,00F1
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,1,1,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D9,0,0,0,0,0,0,4,100,,
